region,nx,ny
서울특별시 종로구,60,127
서울특별시 중구,60,127
서울특별시 용산구,60,126
서울특별시 성동구,61,127
서울특별시 광진구,62,126
서울특별시 동대문구,61,127
서울특별시 중랑구,62,128
서울특별시 성북구,61,127
서울특별시 강북구,61,128
서울특별시 도봉구,61,129
서울특별시 노원구,61,129
서울특별시 은평구,59,127
서울특별시 서대문구,59,127
서울특별시 마포구,59,127
서울특별시 양천구,58,126
서울특별시 강서구,58,126
서울특별시 구로구,58,125
서울특별시 금천구,59,124
서울특별시 영등포구,58,126
서울특별시 동작구,59,125
서울특별시 관악구,59,125
서울특별시 서초구,61,125
서울특별시 강남구,61,126
서울특별시 송파구,62,126
서울특별시 강동구,62,126
부산광역시 중구,97,74
부산광역시 서구,97,74
부산광역시 동구,98,75
부산광역시 영도구,98,74
부산광역시 부산진구,98,75
부산광역시 동래구,98,76
부산광역시 남구,98,75
부산광역시 북구,97,76
부산광역시 해운대구,99,75
부산광역시 사하구,96,74
부산광역시 금정구,98,77
부산광역시 강서구,96,76
부산광역시 연제구,98,76
부산광역시 수영구,99,75
부산광역시 사상구,97,75
부산광역시 기장군,100,77
대구광역시 중구,89,90
대구광역시 동구,90,91
대구광역시 서구,88,90
대구광역시 남구,89,90
대구광역시 북구,89,91
대구광역시 수성구,89,90
대구광역시 달서구,88,90
대구광역시 달성군,86,88
인천광역시 중구,54,124
인천광역시 동구,54,125
인천광역시 미추홀구,55,124
인천광역시 연수구,55,123
인천광역시 남동구,56,124
인천광역시 부평구,55,125
인천광역시 계양구,56,125
인천광역시 서구,55,124
광주광역시 동구,58,74
광주광역시 서구,58,74
광주광역시 남구,58,73
광주광역시 북구,59,75
광주광역시 광산구,57,74
대전광역시 동구,68,100
대전광역시 중구,68,100
대전광역시 서구,67,100
대전광역시 유성구,67,101
대전광역시 대덕구,68,101
울산광역시 중구,102,84
울산광역시 남구,102,84
울산광역시 동구,104,85
울산광역시 북구,103,85
울산광역시 울주군,102,83
세종특별자치시,66,103
경기도 수원시,60,121
경기도 성남시,62,123
경기도 고양시,57,128
경기도 용인시,62,119
경기도 부천시,57,125
경기도 안산시,58,121
경기도 안양시,59,123
경기도 남양주시,64,128
경기도 화성시,57,119
경기도 평택시,62,114
경기도 의정부시,61,130
경기도 시흥시,57,123
경기도 파주시,56,131
경기도 김포시,55,128
경기도 광주시,65,123
강원특별자치도 춘천시,73,134
강원특별자치도 원주시,76,122
강원특별자치도 강릉시,92,131
충청북도 청주시,69,107
충청남도 천안시,63,110
전북특별자치도 전주시,63,89
전라남도 목포시,51,67
경상북도 포항시,102,94
경상남도 창원시,91,77
제주특별자치도 제주시,52,38
제주특별자치도 서귀포시,52,33
DEFAULT:서울특별시,60,127
DEFAULT:부산광역시,98,76
DEFAULT:대구광역시,89,90
DEFAULT:인천광역시,55,124
DEFAULT:광주광역시,58,74
DEFAULT:대전광역시,67,100
DEFAULT:울산광역시,102,84
DEFAULT:세종특별자치시,66,103
DEFAULT:경기도,60,120
DEFAULT:강원특별자치도,73,134
DEFAULT:강원도,73,134
DEFAULT:충청북도,69,107
DEFAULT:충청남도,68,100
DEFAULT:전북특별자치도,63,89
DEFAULT:전라북도,63,89
DEFAULT:전라남도,51,67
DEFAULT:경상북도,89,91
DEFAULT:경상남도,91,77
DEFAULT:제주특별자치도,52,38
DEFAULT:DEFAULT,60,127
